йЫДИЙЭР DSLAM;EMS DSLAM Name;╪МОЛА DSLAM;DSLAM Uplink Port;╪МОЛА еНОПКИСЛОЩ еПЭЛЕМОУ Hop;тЩПОР еНОПКИСЛОЩ еПЭЛЕМОУ Hop;пЭЯТА еПЭЛЕМОУ Hop;TЩПОР пЭЯТАР еПЭЛЕМОУ Hop;йЫДИЙЭР EETT DSLAM;пЕЯИЖщЯЕИА DSLAM;дИАЛщЯИСЛА DSLAM;оМОЛАСъА йщМТЯОУ DSLAM;DSLAM тей;DSLAM ONU;йЫДИЙЭР йщМТЯОУ DSLAM;йЫДИЙЭР EETT еПЭЛЕМОУ Hop;пЕЯИЖщЯЕИА еПЭЛЕМОУ Hop;дИАЛщЯИСЛА еПЭЛЕМОУ Hop;оМОЛАСъА йщМТЯОУ еПЭЛЕМОУ Hop;тей еПЭЛЕМОУ Hop;ONU еПЭЛЕМОУ Hop;йЫДИЙЭР йщМТЯОУ еПЭЛЕМОУ Hop
16599;ATTIC_PSYCHIKO_D_HUA_16599_KV;AATT/PSYH/T077/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13115;ETSBPrt;62978;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;354;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16600;ATTIC_PSYCHIKO_D_HUA_16600_KV;AATT/PSYH/T076/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13116;ETSBPrt;62980;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;356;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16601;ATTIC_PSYCHIKO_D_HUA_16601_KV;AATT/PSYH/T104/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13111;ETSBPrt;62982;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;358;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16602;ATTIC_PSYCHIKO_D_HUA_16602_KV;AATT/PSYH/T075/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13112;ETSBPrt;62986;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;362;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16603;ATTIC_PSYCHICO_D_HUA_16603_KV;AATT/PSYH/T063/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14010;ETSBPrt;62987;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;363;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16604;ATTIC_PSYCHIKO_D_HUA_16604_KV;AATT/PSYH/T074/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13108;ETSBPrt;62989;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;365;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16605;ATTIC_PSYCHIKO_D_HUA_16605_KV;AATT/PSYH/T047/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14006;ETSBPrt;62991;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;367;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16606;ATTIC_PSYCHIKO_D_HUA_16606_KV;AATT/PSYH/T146/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14113;ETSBPrt;62994;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;370;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16607;ATTIC_PSYCHIKO_D_HUA_16607_KV;AATT/PSYH/T073/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14005;ETSBPrt;62996;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;372;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16608;ATTIC_PSYCHIKO_D_HUA_16608_KV;AATT/PSYH/T115/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15104;ETSBPrt;62999;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;375;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
